,Author,Title,Poem,Category
451,Mel Patterson,Dutiful Husband,"
Your prompt is servitude.
The idea is from a comedic you-tube I viewed a couple of years ago.  Presently I do not remember the source.
	 

	 

Buckling under orders


he took his wife's note


to the supermarket.


	 

She listed ten items


#1 to #10 respectively.


	 

He brought home:


	 

1 jar of cream of tartar


2 cans of baking soda


3 boxes of corn starch


4 one pound boxes of sugar


5 bags of chocolate chips


6 jars of peanut butter


7 five pound bags of flour


8 gallons of milk


9 pounds of butter


10 dozen eggs


	 


Buckling under orders


he took his wife's note


to the supermarket;


		 

the manager stifled himself


until the husband left the store


with the appropriate numbers of items.


		 

		 

		 

		 

		 

		 

		 

		 

		 

		 

		 

		 

		 

		 


	 
Your prompt is servitude.

The idea is from a comedic you-tube I viewed a couple of years ago.  Presently I do not remember the source. ©  on Feb 10 2013 07:56 PM, Carmela M. Patterson    contest  • thoughts  • humor     ",Humor
452,Rabindranath Tagore,fairies ,"
	Where the mind is without fear and the head is held high
	Where knowledge is free
	Where the world has not been broken up into fragments
	By narrow domestic walls
	Where words come out from the depth of truth
	Where tireless striving stretches its arms towards perfection
	Where the clear stream of reason has not lost its way
	Into the dreary desert sand of dead habit
	Where the mind is led forward by thee
	Into ever-widening thought and action
	Into that heaven of freedom, my Father, let my country awake.
	Where the mind is without fear and the head is held high
	Where knowledge is free
	Where the world has not been broken up into fragments
	By narrow domestic walls
	Where words come out from the depth of truth
	Where tireless striving stretches its arms towards perfection
	Where the clear stream of reason has not lost its way
	Into the dreary desert sand of dead habit
	Where the mind is led forward by thee
	Into ever-widening thought and action
	Into that heaven of freedom, my Father, let my country awake. © by owner. provided at no charge for educational purposes    ",Humor
453,Ronald Tirino,Dark brown bread bathed in light,"Loaf of darkened bread 
bathed in soft vameer light 
behind trembling shadows 

 A still life portrait 
of loaf of dark brown bread 
sits on old wooden 
table lined with age 

  crust  roughly crisp 
hardened to the touch 
crumbs scattered to its side 
beside the peels of orange rinds 
aromatic memories that fill life's senses 
of forgotten times 
  
the soft muted tones of light 
pass through the half opened 
window  particles of dust rise 
slowly floating through beams of light 
  
high lights caress the contours 
exposing valleys lined with age 
by its side sits a porciline cup 
and saucer delicately fine 
half filled with steaming tea 
  
outside in the fading distance 
through the opening of the window 
slight sound s of bird song 
wisper's in its forgetfulness 
of another day 
  visual light and tones ©  ",Spiritual
454,Oceaonist,run to the ocean,"I hear the crackle of the sand, alive against the rocks,my feet rousing the little specks.Even though the birds fly high above my head,I still hear their morning calls to one another.The sun barely peeks over the horizonas I slow to a walk.My ears fill with the movement of the sea,the splash of waves as they hit my ankles,and the disgruntled moans of a newly awakened monster.  75 wordsI hear the crackle of the sand, alive against the rocks,
my feet rousing the little specks.
Even though the birds fly high above my head,
I still hear their morning calls to one another.
The sun barely peeks over the horizon
as I slow to a walk.
My ears fill with the movement of the sea,
the splash of waves as they hit my ankles,
and the disgruntled moans of a newly awakened monster.
 
 
75 words
 ©  on Feb 26 2013 08:55 AM, Emma Henderson   life-thoughts  • beauty  • metaphor  • spiritual  • spiritual1     ",Spiritual
455,Blushfulmoon,~~The Fairy Gathering~~,"
	In the shadows of the dark forest
	In the afternoon waning light
	The faeries are a gathering
	To celebrate the night
	On the wind I can them singing
	Like the tinkling of bells
	As clear as silver raindrops
	Gently falling on the dells
	I long to see them dancing
	Underneath the silver moon
	So I sit among the shadows
	And I offer them a tune
	I heard them whisper in the trees
	Laughter echoes in the glen
	But they melt away like stardust
	Far beyond all mortal ken
	I will keep Sally in my prayers.......I am fighting cancer once again..........been in remission for years......but been so weak had to miss 2 wks due to extreme pain...My oncologist says the chemo I am taking causes this type of pain.......and it has hit me in my leg where I have a rod and 8 pins..I can't walk without the help of a walker now or cane...........I can certainly sympathize with her and her pain...........and also with yours as well........Will say prayers for the both of us.......
	I love the fairy pic you have chosen it is so pretty............and I like fairy's too
	Tell Sally to hold her head up and keep the faith and not give up...most of all do not give up and try to have a good outlook on it instead of a bad one.....that has helped carry me through more than anything..........that and prayers.........this started in 94...........and still going on..am lucky ot be alive..........Please keep me posted even after the contest is over...........okay
	Pic courtesy of www.fairy world magic
	In the shadows of the dark forest

	In the afternoon waning light

	The faeries are a gathering

	To celebrate the night

	 

	On the wind I can them singing

	Like the tinkling of bells

	As clear as silver raindrops

	Gently falling on the dells

	 

	I long to see them dancing

	Underneath the silver moon

	So I sit among the shadows

	And I offer them a tune

	 

	I heard them whisper in the trees

	Laughter echoes in the glen

	But they melt away like stardust

	Far beyond all mortal ken

	 

	 
	I will keep Sally in my prayers.......I am fighting cancer once again..........been in remission for years......but been so weak had to miss 2 wks due to extreme pain...My oncologist says the chemo I am taking causes this type of pain.......and it has hit me in my leg where I have a rod and 8 pins..I can't walk without the help of a walker now or cane...........I can certainly sympathize with her and her pain...........and also with yours as well........Will say prayers for the both of us.......

	I love the fairy pic you have chosen it is so pretty............and I like fairy's too

	Tell Sally to hold her head up and keep the faith and not give up...most of all do not give up and try to have a good outlook on it instead of a bad one.....that has helped carry me through more than anything..........that and prayers.........this started in 94...........and still going on..am lucky ot be alive..........Please keep me posted even after the contest is over...........okay

	Pic courtesy of www.fairy world magic ©  on Jul 21 2013 12:05 AM, Susan Vessels   sad  • pain  • personal  • hope  • spiritual    ",Spiritual
456,summit14,Midnight Watch with a Saint,"I was just
listening
to the clock's tocks
echo on my bone
and nothing else.

The new moon's glow 
was hidden behind Midnight's curtain
in the window
but the clock's face still shone
through the black cassock of night,
pale and round.

It stared blankly
from the shelf, like the
pale, round 
skull
in the box beside it, which
echoed its grin
off the walls of the hollow box
I was sitting in.Relics such as Saints' skulls, are often kept in boxes (often glass) in Christian traditions, and sometimes left in Chapels for faithful to venerate them and meditate before them. 

A second note, Midnight Watch/Office is first morning meditation in the Eastern Orthodox Monasteries.  It is also a Biblical reference - ""For behold, the Bridegroom comes at midnight, and blessed is that servant He will find watching."" (From the Liturgy, taken from Scripture). ©  on Jun 09 2013 09:22 PM, Garwyli Berwyn   personal  • spiritual  • dark  • religious  • depression  • death  • fear  • emptiness ",Spiritual
457,Lute,"Part 5, Manifestations--Debbie does Dallas","He knows he is not supposed to be here
playing in the Easter winds
braking the flow,
painting Debbie’s toes.

They would say the spirit is shaken
on the spikes
of the macro-orgasmic cesspool
between the wars
when the Wasteland was King
and Ego pressed his nose
against the frosted window.

Shall they be pursued?
hot irons floating in the dark,
poems transformed into sparkling swords
wrestling with the wind
in the verdant valley sacred to the absent goddess.

footprints in the dew
Nijinsky at the window with the rose
the city painted in false colors
underneath it all the Anger burned;
the Lie grew.
Gertrude made the words screw
the garter is stained
with old quarters
in History it is called blood.

the chairs are dragged
gouging the virgin soil
the model is unstable
mottled with rust and rote;

“I am I”, they said,
bruising Aphrodite
while the words soared
cheap red and blue
through the white rooms
muted by the heavy curtains",Spiritual
458,Linda Marshall,Walking on water ,"
	Through the enveloping darkeness dimly shone
	The vision of His face, as on He trudged
	Past the ringlets of mist swathing His body
	Along the beach where fronds of seaweed
	Wept at His coming. Then at last arriving
	Upon a wall of waves He briskly strode
	Through foam and froth and crested currents
	That heaved around Him. The horizon smalled
	To become the very man Himself,
	He the vantage point and measuring stick
	And through the fierce lightning of His eyes
	The mist dispersed, the stormy waters
	Calmed to the smoothness of a polished pebble
	And for all His coldness
	There was a warmth within
	That filled Him utterly, and was spread out
	To heat the shivering fishermen who lay
	Huddled and fearful
	In their once plunging boat,
	Now utterly calm.
	The water's surface became
	As flat as the anticlimax of the moment
	When He
	Lorded it over the enveloping waves
	And stilled the boisterous wind
	Till, drained and falling into
	The lumber of everyday life, slowly unfolded
	And sank into restful sleep
	A poem about Christ walking on the waters. I chose to focus on Christ's humanity in this poem rather than His divinity but of course He always had a dual nature. I hope fellow-believers will not be offended by my poem and I hope that non-believers will simply take it as a poem.
	Through the enveloping darkeness dimly shone

	The vision of His face, as on He trudged

	Past the ringlets of mist swathing His body

	Along the beach where fronds of seaweed

	Wept at His coming. Then at last arriving

	Upon a wall of waves He briskly strode

	Through foam and froth and crested currents

	That heaved around Him. The horizon smalled

	To become the very man Himself,

	He the vantage point and measuring stick

	And through the fierce lightning of His eyes

	The mist dispersed, the stormy waters

	Calmed to the smoothness of a polished pebble

	And for all His coldness

	There was a warmth within

	That filled Him utterly, and was spread out

	To heat the shivering fishermen who lay

	Huddled and fearful

	In their once plunging boat,

	Now utterly calm.

	 

	The water's surface became

	As flat as the anticlimax of the moment

	When He

	Lorded it over the enveloping waves

	And stilled the boisterous wind

	Till, drained and falling into

	The lumber of everyday life, slowly unfolded

	And sank into restful sleep
	A poem about Christ walking on the waters. I chose to focus on Christ's humanity in this poem rather than His divinity but of course He always had a dual nature. I hope fellow-believers will not be offended by my poem and I hope that non-believers will simply take it as a poem. ©  on Oct 25 2013 07:35 AM, Linda Marshall   spiritual     ",Spiritual
459,Swtpoetryman,(Carolina),"CAROLINA
(from ROAD POEMS / POEMS & SONGS of A TRAVELING MAN! - coming SOON!)



In a Carolina Diner,
I met a southern man,
who said - he'd been to China,
and he was a fan,
of Brautigan and Kesey,
of Kerouac and Co,
 he met in The Sixties,
many moons, ago -


cruising 

d
o
w
n

the highway,
when he was a lad,
in a red corvette,
with his Hipster Dad,
who swore he'd 

leave

'The Sticks',
and get 'his kicks', one day,
on Route 66,

p
u
f
f
i
n

on a J.


And then he said his Dad,
looked a lot like me,
as he  opened up  his wallet,
so that I could see,
Dad's salt and pepper hair,
and his white goatee,
like a vision in a stream,
staring back at me.
 ©  ",Spiritual
460,Lute,Part 12--the Servants,"The dirty faces are pressed against the window.
In between the images,
the beat of their racing hearts,
the pause before the next breath,
the spark of the cane on the sidewalk,
  
 amanuensis,  servus a manu,
     the feel of flesh, blood spurting
from neck and spine,
despite protestations they feel it so,
in wood lined situations,
deep saturations of cheap wine
poured into fine crystal
living inside their selves
while the spheres shine,
explicit and barely defined,

She would not have had it so,
sheer silk cleaving to the inside of her thigh,
her lips forming a perfect O.
all of it imagined before the first fall,
when the wings filled the void between Heaven and Hell,

and dust was just a dream,

their fingers twitched,

reached, the stomachs heaved
vomiting the cosmos for all to see,
easy enough",Spiritual
461,Derek Walcott,Seacrets,"The time will come 
when, with elation 
you will greet yourself arriving 
at your own door, in your own mirror 
and each will smile at the other's welcome, 

and say, sit here. Eat. ",Spiritual
462,Pratip,He is the sea,"
who is he
that sits beside you
staring at the ocean
wave upon wave
his head is on your arm
and with his finger
he writes your name
backwards in the sand
his glasses mist up
in the salt
and his hair waves about
like seaweed in a current
he does not speak
his silence is eloquent
his little hand gritted with sand
clutches yours
barefoot in his skinny legs
his chin upon his knobby knees
he stares unblinking
back beyond the ocean
the oceans whispers to him
in long hushed voices
torn apart by screeching
sea gulls diving jealously
by and by the tide comes in
and pulls at his feet
enticing him with a foam
beseeching him to come in
he does not speak
nor does he look at you
you in whose arms
providence had once placed him
he lets go of your hand
he gets up slowly
and walks into his sea
never looking back
never pausing in hesitation
he is Varuna
he is not yours
never was
you just looked after him
for his moment or two
his on this earth
and for you he left behind 
an eternity
salt meets salt
in your eye 
he has left behind no footprint
but has taken all yours away
who is he
let him go
he wasn't yours
he is the sea
Varuna: The Hindu god of water and the oceans
who is he

that sits beside you

staring at the ocean

wave upon wave

	 

his head is on your arm

and with his finger

he writes your name

backwards in the sand

	 

his glasses mist up

in the salt

and his hair waves about

like seaweed in a current

	 

he does not speak

his silence is eloquent

his little hand gritted with sand

clutches yours

	 

barefoot in his skinny legs

his chin upon his knobby knees

he stares unblinking

back beyond the ocean

	 

the oceans whispers to him

in long hushed voices

torn apart by screeching

sea gulls diving jealously

	 

by and by the tide comes in

and pulls at his feet

enticing him with a foam

beseeching him to come in

	 

he does not speak

nor does he look at you

you in whose arms

providence had once placed him

	 

he lets go of your hand

he gets up slowly

and walks into his sea

never looking back

never pausing in hesitation

	 

he is Varuna

he is not yours

never was

you just looked after him

for his moment or two

his on this earth

and for you he left behind 

an eternity

	 

salt meets salt

in your eye 

he has left behind no footprint

but has taken all yours away

	 

who is he

let him go

he wasn't yours

he is the sea

	 

	 

	 

	 
Varuna: The Hindu god of water and the oceans ©  on Aug 20 2013 02:34 AM, Pratip    thoughts  • sad  • spiritual     ",Spiritual
463,Linda Marshall,The wanderer in the woods,"
	within the woods I wandered
	in the still chill of an autumn day,
	wandering, I pondered
	on the departed necklaces of green,
	the bright fruits and berries now robbed of their lustre
	within the woods I smelt
	the scent of fallen leaves
	grown sodden with the rain
	its fragrance filled my nostrils
	like incense scattered through the air in church
	within the woods I touched
	the fire of fallen leaves,
	russet embers of foliage
	that glowed and glistened
	as if the sun lay underneath my feet
	within the woods I wandered
	in the still chill of an autumn day,
	wandering, I pondered
	on the departed necklaces of green,
	the bright fruits and berries now robbed of their lustre
	within the woods I smelt
	the scent of fallen leaves
	grown sodden with the rain
	its fragrance filled my nostrils
	like incense scattered through the air in church
	within the woods I touched
	the fire of fallen leaves,
	russet embers of foliage
	that glowed and glistened
	as if the sun lay underneath my feet ©  on Nov 23 2013 05:41 AM, Linda Marshall   nature  • thoughts  • spiritual  • personal     ",Spiritual
464,Dlmchale,Memory of My Life,"
I have walked a thousand country miles -
watched the falcons pirouette in the summer sky;
lunched upon bitter green apples and fermented mangoes
and napped beneath the hot luminous clock;
quenched my thirst with melodious silver spring water 
and skipped stones across frozen lakes.
I’ve immortalized poets against the echoing granite walls of time.
In bare feet I danced in verdant green meadows
that carpet a bottomless valley; 
traced my fingertips along the gnarled grooves
 of a dying oak and bid it farewell.
I have bathed in babbling brooks that giggled at 
my nakedness and dried myself in the wispy autumn winds.
Upon mountaintops, I have squeezed sunsets between
my forefinger and thumb and slowly opened them again to
the shimmering glow of a new moon.
I have slept beneath a canopy of universes and composed 
my dreams against shimmering stars;
built wet sandcastles fit for kings on foreign shores
and fed them to the ravenous surf.
Beneath cascading waterfalls were written tumbling
verse, while angelfish nibbled at my dropped metaphors.
In the Mascarene Islands, I flew kites built from 
forest reeds and raffia palms until they were swallowed
by drifting winter clouds.
The return to a new day awaits me, and a thousand more
miles beneath my feet before this life is drawn full circle.
Awakening a memory, I close my eyes 
and the colors of life’s possibilities explode beneath my lids.
	 

I have walked a thousand country miles -

watched the falcons pirouette in the summer sky;

lunched upon bitter green apples and fermented mangoes

and napped beneath the hot luminous clock;

quenched my thirst with melodious silver spring water 

and skipped stones across frozen lakes.

	 

I’ve immortalized poets against the echoing granite walls of time.

In bare feet I danced in verdant green meadows

that carpet a bottomless valley; 

traced my fingertips along the gnarled grooves

 of a dying oak and bid it farewell.

	 

I have bathed in babbling brooks that giggled at 

my nakedness and dried myself in the wispy autumn winds.

Upon mountaintops, I have squeezed sunsets between

my forefinger and thumb and slowly opened them again to

the shimmering glow of a new moon.

	 

I have slept beneath a canopy of universes and composed 

my dreams against shimmering stars;

built wet sandcastles fit for kings on foreign shores

and fed them to the ravenous surf.

	 

Beneath cascading waterfalls were written tumbling

verse, while angelfish nibbled at my dropped metaphors.

In the Mascarene Islands, I flew kites built from 

forest reeds and raffia palms until they were swallowed

by drifting winter clouds.

	 

The return to a new day awaits me, and a thousand more

miles beneath my feet before this life is drawn full circle.

Awakening a memory, I close my eyes 

and the colors of life’s possibilities explode beneath my lids. ©  on Jun 27 2012 06:25 AM, Dennis McHale   thoughts  • personal  • life  • sad  • pain  • dark  • contest  • spiritual    ",Spiritual
465,tomisb,My Beginning  ,"
	Molten mornings, glazed clouds captured
	the ache of light, shadows keeping the lake
	cast slate. The spun red threads from peak 
	to streak the cumulus sails before blushing peach.
	The tree tops against the white light stark,
	lake a reflection of hillside, house, day coming to.
	Hawk circles, red tail, last vestige of day’s beginning. 
	Hear the crunch of gravel on the road, a wave of hand
	Work never ends and bills, hands out, drain reserves.
	Sleep vanishes to alarms, robins, cardinals clamor
	with the finches and crows as doors bang shut. Children
	walk down the dawn to the bus stop, summer’s not long, 
	but, still, a song hopes of adventures dreamed about. 
	My white hair stirs with a quick breeze racing up the hill.
	I laugh yes to requests from grade schoolers to pet the dog. 
	Follow the breadth of life, enjoy how it lives deep within me.
	No longer lured to adventure but celebrating each day's awakening.
	Creation crafts the song; my heart with joy sings along. 
	4:06 PM
	7/16/13
	Stafford, VA
	I contain multitudes
	 

	 

	 

	 

	 

	 

	Molten mornings, glazed clouds captured

	the ache of light, shadows keeping the lake

	cast slate. The spun red threads from peak 

	to streak the cumulus sails before blushing peach.

	 

	The tree tops against the white light stark,

	lake a reflection of hillside, house, day coming to.

	Hawk circles, red tail, last vestige of day’s beginning. 

	Hear the crunch of gravel on the road, a wave of hand

	 

	Work never ends and bills, hands out, drain reserves.

	 

	Sleep vanishes to alarms, robins, cardinals clamor

	with the finches and crows as doors bang shut. Children

	walk down the dawn to the bus stop, summer’s not long, 

	but, still, a song hopes of adventures dreamed about. 

	 

	My white hair stirs with a quick breeze racing up the hill.

	I laugh yes to requests from grade schoolers to pet the dog. 

	Follow the breadth of life, enjoy how it lives deep within me.

	No longer lured to adventure but celebrating each day's awakening.

	 

	Creation crafts the song; my heart with joy sings along. 

	 

	 

	 

	 

	 

	 

	4:06 PM

	7/16/13

	Stafford, VA

	 

	 

	 

	 

	 

	 

	 

	I contain multitudes
 ©  on Jul 06 2013 01:09 PM, Thomas Burson    beginnings  • ends  • life  • magical  • spiritual    ",Spiritual
466,Lyra Shadows,Candle Magic," Placing the green candle at the top of the circle lighting it and calling to the earth element.   Now for the yellow candle,its placed to the right of the circlelighting this one as well,calling upon the air element.  On to the red candle,placed at the bottom of the circleit to was lit and called uponthe fire element.    The blue candle is next,setting it to the left of the circlelighting it and calling to the water element.  On to the final candle,it was set into the center of the circle,lighting the violet candle and calls uponthe spirit element.  Invoking each element,by calling them by name,earth, air, fire, water and spirit,blowing out each candle in turn.   

 
Placing the green candle at 
the top of the circle 
lighting it and calling to 
the earth element.  
 
Now for the yellow candle,
its placed to the right of the circle
lighting this one as well,
calling upon the air element. 
 
On to the red candle,
placed at the bottom of the circle
it to was lit and called upon
the fire element.  
 
 The blue candle is next,
setting it to the left of the circle
lighting it and calling to 
the water element. 
 
On to the final candle,
it was set into the center of the circle,
lighting the violet candle and calls upon
the spirit element. 
 
Invoking each element,
by calling them by name,
earth, air, fire, water and spirit,
blowing out each candle in turn. 
 
 

Option 1 Candles

picture credit: http://i202.photobucket.com/albums/aa295/FLAMEonfire2/GIFS/purplecandles.gif?t=1241394096 ©  on May 03 2009 11:12 AM, Lyra AnnMarie Shadows   contest  • spiritual  • other     ",Spiritual
467,James C. Allen,The Bond,"
	How is it I have lived
	too long?
	I chart my steps by
	the number of erasures.
	The stones roll over
	in search of the widow's mite
	this hot dry hour when the streets
	melt like molasses 
	and the thick death salts
	vapor hangs like chlorine.
	Tremors move-
	and the new wave
	horrible in its hushness
	pits its way down the driveway
	in back of the bright red cab
	whose meter stalls in the half
	erect way that lids do when
	they stick to eyes.
	Now I stand above an old stove
	scrubbed to the metal base
	of its porcelain grin and shake
	a single portion of chicken
	in a plastic bonnet
	It's so hard to eat vegetables-
	especially broccoli with the 
	stalk and stems yellow
	from base to bud.
	The poem examines the sometimes tenuous ""Bond"" which holds us to life even against difficult feelings and happenings.
	How is it I have lived

	too long?

	I chart my steps by

	the number of erasures.

	 

	The stones roll over

	in search of the widow's mite

	this hot dry hour when the streets

	melt like molasses 

	and the thick death salts

	vapor hangs like chlorine.

	 

	Tremors move-

	and the new wave

	horrible in its hushness

	pits its way down the driveway

	in back of the bright red cab

	whose meter stalls in the half

	erect way that lids do when

	they stick to eyes.

	 

	Now I stand above an old stove

	scrubbed to the metal base

	of its porcelain grin and shake

	a single portion of chicken

	in a plastic bonnet

	It's so hard to eat vegetables-

	especially broccoli with the 

	stalk and stems yellow

	from base to bud.
	The poem examines the sometimes tenuous ""Bond"" which holds us to life even against difficult feelings and happenings. ©  on Aug 07 2012 01:35 AM, James C. Allen    contest  • pain  • personal  • spiritual    ",Spiritual
468,B2oH,Dream Ship III: Red Orbit,"




lightsped lisped through empty dark
velivolant vacuum ion-spattered incandescent
drives drone damned in shudder, screamed
in a velocity of torn, tattered atoms;
breadcrumbs borne too far from home

sliding down bright bands of radioactive reception
via heady harmonic oscillation and stereophonic shift,
I lie to myself via creative circuits of digital deception
with phase locked loops of Eigenvector emotions.
rapacious RAM cached queues of 3D virtual vision
and solitary madness sings six-sensed sensation:

wire me, electro-etched, upon your electric elamped altar,
superstrung to the chill collapsed core of star novae
where suffocating singularity rebirth beckons.

disassembled, dissembled and disheveled,
I await the burning brand of icy illumination
within this pentagram of heavy earth elements
upon a broken foundation of ley line stone.
my liquid crystal eyes roam captured skies
via telemetry lock under remote control
fuel cells nearer fatal fusion with each glance
I hear tongues, whispered by cowled cabals,
our destination lies below the moons of Mars.

blood trinity; Phobos, Deimos and the God of War;
red faced, dimly desolate with the dust of dead.
sunken sand-choked curving carved canals
once fluid quicksilver dancing, now cracked dry.
and o'er head, the attendants eternally circle,
servants to empty court and barren buffet;
keepers of forlorn secrets, scryers of death,
faces that echo fear and dread upon a starry sky.

within the withered cold core lies seeds of succulence,
firm flesh to begin, anew, a rebuilding renaissance;
rooted, yearning for touch of fire and flakes of ash
volcanic vellum beyond this incarnation's history writ,",Spiritual
469,Mr.Serendipitous,The Reckoning,"silent is the rain muddying the creek
my ears open to the sounds of the trees
the moon rising over the horizon
I see the night setting its long shadow upon the land
as we emerge to bathe in its light 
with me,  myself,  & i   ©  on Jun 12 2013 07:27 PM, Stacy George        contest  • dark  • hope  • life  • other  • personal  • sad  • spiritual  • thoughts  • humanity  • sensual ",Spiritual
470,tomisb,Learning to Choose  ,"
	Her memories slipped out of keyholes 
	slid down bannisters, danced 
	with their eyes closed and finally got tangled 
	where dreams became the backbone of seduction.
	Living was never complicated, its creation
	a blessing that unfolded into blossoms over years.
	The enticement, the touching as one awakened 
	to every fiber’s unique speech — this, alone,
	was worth every second of study. Memories
	often, create the spark to reawaken a fire. 
	It was worth the time, she thought as she brushed
	out the nights eddies, uncurled the combers,
	remembered the man. He never toyed, never
	acted as if he knew her before she spoke. He
	enjoyed, tasted and played with her, so they 
	discovered each other in the process of learning
	how they could be when together, partners.
	She enjoyed the weight of her braid, the thought
	he could create a new world as he undid it,
	joined her in its magic and wrote new words
	for the worlds they created in dusky reds,
	alabaster, ivory and ebony nights to the fresh
	spill of clear light on a reborn day. 
	12:06 PM
	3/29/13
	Stafford, VA
	Prompt: This image Image Credit 
http://art-reveal.com/blog/category/exhibition/
	 

	 

	 

	Her memories slipped out of keyholes 

	slid down bannisters, danced 

	with their eyes closed and finally got tangled 

	where dreams became the backbone of seduction.

	 

	Living was never complicated, its creation

	a blessing that unfolded into blossoms over years.

	The enticement, the touching as one awakened 

	to every fiber’s unique speech — this, alone,

	was worth every second of study. Memories

	often, create the spark to reawaken a fire. 

	 

	It was worth the time, she thought as she brushed

	out the nights eddies, uncurled the combers,

	remembered the man. He never toyed, never

	acted as if he knew her before she spoke. He

	enjoyed, tasted and played with her, so they 

	discovered each other in the process of learning

	how they could be when together, partners.

	 

	She enjoyed the weight of her braid, the thought

	he could create a new world as he undid it,

	joined her in its magic and wrote new words

	for the worlds they created in dusky reds,

	alabaster, ivory and ebony nights to the fresh

	spill of clear light on a reborn day. 

	 

	 

	 

	 

	 

	12:06 PM

	3/29/13

	Stafford, VA

	Prompt: This image Image Credit 

http://art-reveal.com/blog/category/exhibition/

	 
 
	  
 ©  on Mar 29 2013 09:10 AM, Thomas Burson    awakening  • discovery  • spiritual  • wisdom     ",Spiritual
471,Lyrainthedark,Apep,"
The Book of the Dead is burning in her eyes.
	(Daily one blur after another rises rosy in the east,
	reaches out a hand and closes the gaping night.
	The mouth of the moon conceals a snake
	with sun-swallowing intentions.)
She speaks from the sacred text, and all the while
the words are coming alive, leaping from the page
leaping from her lips, leaping smooth and green skinned
into the Nile -
	(On a shadowboat drawn by oars of fire
	the King of Kings is waiting. He has surveyed
	his new realm; in the tenth region of the night, he will fight
	the Serpent Who Circles The World.)
She stands still and water like lapis flows by her feet; beneath the surface
hands she will never touch are reaching.
	(The battle goes on. Dimness rises out of the west and claims
	the land it cannot keep forever – consumes
	the burning hourglass of the sky.)
She keeps her sympathy confused with pain, until
the red-running sunrise river bears the odor of godly blood.
	(Smooth black scales appear among thin pale reeds
	then dissolve away like salt in the clear water.)
She lays blind by the riverside,
opens fire-stained thighs.
	(The long-legged ibis dips his head to drink
	holds up the newborn Sun in a red-dripping beak.)
	Chosen Prompt : “The closer one comes to the instinct world, the more violent is the urge to shy away from it and to rescue the light of consciousness from the murks of the sultry abyss. Psychologically, however, the archetype as an image of instinct is a spiritual goal toward which the whole nature of man strives; it is the sea to which all rivers wend their way, the prize which the hero wrests from the fight with the dragon.”- Carl G Jung
	*Apep: Also called Apophis, the Egyptian god of darkness, chaos, and evil.  For more info (he's quite interesting)  see the wiki: http://en.wikipedia.org/wiki/Apep
	 

The Book of the Dead is burning in her eyes.

	 

	(Daily one blur after another rises rosy in the east,

	reaches out a hand and closes the gaping night.

	The mouth of the moon conceals a snake

	with sun-swallowing intentions.)

	 

She speaks from the sacred text, and all the while

the words are coming alive, leaping from the page

leaping from her lips, leaping smooth and green skinned

into the Nile -

	 

	(On a shadowboat drawn by oars of fire

	the King of Kings is waiting. He has surveyed

	his new realm; in the tenth region of the night, he will fight

	the Serpent Who Circles The World.)

	 

She stands still and water like lapis flows by her feet; beneath the surface

hands she will never touch are reaching.

	 

	(The battle goes on. Dimness rises out of the west and claims

	the land it cannot keep forever – consumes

	the burning hourglass of the sky.)

	 

She keeps her sympathy confused with pain, until

the red-running sunrise river bears the odor of godly blood.

	 

	(Smooth black scales appear among thin pale reeds

	then dissolve away like salt in the clear water.)

	 

She lays blind by the riverside,

opens fire-stained thighs.

	 

	(The long-legged ibis dips his head to drink

	holds up the newborn Sun in a red-dripping beak.)
	Chosen Prompt : “The closer one comes to the instinct world, the more violent is the urge to shy away from it and to rescue the light of consciousness from the murks of the sultry abyss. Psychologically, however, the archetype as an image of instinct is a spiritual goal toward which the whole nature of man strives; it is the sea to which all rivers wend their way, the prize which the hero wrests from the fight with the dragon.”- Carl G Jung

	*Apep: Also called Apophis, the Egyptian god of darkness, chaos, and evil.  For more info (he's quite interesting)  see the wiki: http://en.wikipedia.org/wiki/Apep ©  on Nov 21 2012 07:30 AM   thoughts  • life  • gods  • dragons  • psychology  • fighting  • spiritual  • dark  • chaos  • prize  • dragon  • instinct  • egypt  • woman  • hope  • birth  • death     ",Spiritual
472,myriad-dark,A Doomed Messiah,"I was conceived in altered states 
by a widow's womb
	hand divined by my father's ilk 
	who built a palace as a tomb to his indolence 
	announcing my coming 
	viscera monuments made word 
	and rendered flesh 
	as heart beats and scourging 
	sibilant whisperings sung as lullabies 
	to lost causes and the dead 

	The masses came to hear the offerings 
	sacred icons strewn in quandaries  
	listening with virulent intentions 
	meek and mild; wily and silent 
	self portraits and images worn 
	as masquerades 
	instincts honed and keen 
	to kill or be killed 
	and sing their own eulogies 
	as funereal serenades 

	A wandering desert christ  
	humming seraglio lyrics in poetic devices 
	natural order of carved alliteration  
	hand of divine sculpting  
	philosophical meanderings assuming pointe  
	position of Socrates leanings 
	a simulacra of elocution and  
	canto resolutions   
	there was the roar of the veins 
	a blood pact 
	of pulse and breathing 

	We heard the waxing and waning 
	of the moon 
	and felt its tidal pull deep 
	between the midnight and  
	dawn's arcing peak 
	a resurrection of sorts between 
	the cruciform sunrise and  
	an empty tomb's eve 
	it is there among the metaphors 
	and cyclical is transmutation  
	to venerate and farewell the dead 

	  

	  

	  

	  Prompts:
The Dead Poet by Al Purdy",Spiritual
